,avg_return,avg_volume,avg_market_cap,avg_volatility_5d,avg_volatility_10d,avg_volatility_22d
AAPL,0.000694491374762548,53726056.84931507,3334516192188.36,0.24533837349419854,0.2658851622214622,0.2804445000329202
ABBV,0.0006386403796942576,6217297.2602739725,337445413219.0197,0.2258027559067075,0.24207282504875013,0.26187926388628047
AMZN,0.0008063241672345464,42530216.09589041,2249036935249.2637,0.2881346981894976,0.30059959170406275,0.3126037801546861
AVGO,0.00314370314724692,26696766.09589041,1103765442241.6768,0.44674210512744533,0.4766197709675454,0.5116786624140688
BA,0.0007463528808089853,9443346.232876712,141816581952.76352,0.3034036263465964,0.31828243480081864,0.333214542266935
BAC,0.0010116449631531654,38845998.28767123,324523317220.6981,0.22316490562223154,0.23842433031570234,0.25207404141923534
BMY,-0.00014563554269571866,13015408.219178082,101722574712.67148,0.2573677728162152,0.2689962675065663,0.28243414754843477
BRK-B,1.2158004361751453e-05,4482576.02739726,663843585643.8511,0.16027696544464587,0.16861374453666436,0.17707439172590955
CAT,0.001915353328423199,2642096.2328767125,179182650148.72714,0.255018904216973,0.26799664532062195,0.2775886534435317
CL,-0.0010783260544192756,5103123.287671233,71721685499.47934,0.18796083897848373,0.1983348413927731,0.20364654227074305
COP,-0.0006476050843989513,7539205.136986301,118668943004.85991,0.27504326414094815,0.29441451636486693,0.31210166502178416
COST,0.00017660597977217093,2150014.0410958906,422220829258.66986,0.18645283315462266,0.19568727663570562,0.20255053778785748
CRM,0.0001431135482071565,7234557.534246575,267638686885.88602,0.29165859395635707,0.3071071360840832,0.3144564574960505
CSCO,0.0014057659037686888,19964157.19178082,240307185847.62164,0.18083890975290487,0.1941817566082082,0.20461138499816997
CVX,0.00035670738402779865,8576552.05479452,295120895702.6867,0.2003653611688426,0.21329212000070308,0.22592335355982052
DE,0.0007057204974036998,1317994.1780821919,123988892325.4375,0.24397932700014835,0.2557915528979703,0.2677506550508704
DIS,0.0008097933343018729,9255202.739726027,192859945040.312,0.21188730308085427,0.22686023679206252,0.24463376929060338
DUK,0.0003937299932520101,3367289.383561644,89717297731.91086,0.16096339506807714,0.16903675833462717,0.17384098499095632
GE,0.0022181777411361256,5306276.369863014,232358790649.76358,0.2659599656095419,0.2803038332622204,0.29351386309867583
GOOG,0.001995830883176015,22132228.76712329,1011588285966.9517,0.27264888032750173,0.2862556639700903,0.2973471204952901
GOOGL,0.002018046888619366,33456264.383561645,1080777415472.7886,0.2768679252200749,0.29041116313706455,0.30155943177422484
GS,0.0017293003854561948,2282504.109589041,185058616745.45825,0.2632183224281288,0.2770041311834647,0.2932321705965718
HD,0.0002172933690210308,3440520.890410959,381169348013.96716,0.19586703256408777,0.204687861393194,0.2125529348164044
HON,0.00019343404788220954,4292253.938356165,128221864900.91495,0.20796602413046875,0.2180199845141992,0.22940676414815708
JNJ,0.000532214429520169,8335150.684931506,384008848894.51776,0.15840367180362985,0.16557289727772775,0.1762123566227198
JPM,0.0012605886320168598,9332672.260273973,699556996519.0085,0.21330222577469624,0.22584248758126765,0.23984863579610602
KO,-6.980826253783062e-05,16503163.356164383,288888264549.04126,0.1563562255204009,0.16153014144551395,0.1631321267129052
LIN,-0.00028203776606300276,1981015.7534246575,213095147932.24728,0.15441955759138762,0.16105272195264597,0.16717916647661796
LLY,-0.00040188660673814823,3863187.671232877,719130630312.5691,0.32634184658832793,0.35315723317087483,0.37687701183770334
MA,0.0004998340064129143,2696370.890410959,484003592074.6291,0.18256579506780385,0.19267308206325262,0.20200465813332633
MCD,0.0002770074338952087,3393788.01369863,212492268912.4074,0.16161378336124915,0.16966859238630835,0.17621844443937548
MDLZ,-0.000643554590136468,8226127.05479452,82585639035.18625,0.19710059071151767,0.20448060293931833,0.20964065040656177
META,0.0009217605433422344,13967576.02739726,1406355846548.5417,0.2917796132895761,0.3061688028623383,0.3231970019324578
MPC,0.0004841622734883898,2517203.4246575343,47504423218.947266,0.283370330026324,0.2977188500070001,0.3179161110242736
MSFT,0.0008849963255548123,21363585.616438355,3329269701668.876,0.20030206417528135,0.21024446676529934,0.22168095045843758
NEE,0.0001780607833176542,11086781.849315068,152106339876.23685,0.25214101552196216,0.2645404623436766,0.27883504231992173
NEM,0.001645260633671849,11376904.794520548,60420565248.836235,0.34303050376429367,0.36169907653432404,0.37080381045091904
NFLX,0.0016420221975203238,3733879.4520547944,431810746457.0053,0.28264779542567475,0.2986733737952193,0.3105671438773689
NVDA,0.002168058470671547,231850838.3561644,3485836128904.918,0.41546240845524474,0.43696104625478,0.45071915186018474
ORCL,0.0021399544055007253,13524138.698630137,553011996550.9604,0.42808518602118634,0.45461118207700174,0.4819411595041925
PEP,-0.000479429647515541,7591441.095890411,199994597375.5421,0.19583642070797364,0.2052435144695189,0.21201761394136984
PFE,-0.00029203216065337023,44992476.02739726,138283620168.73956,0.2280246390174255,0.24208692610615223,0.2542936178195237
PG,-0.00042016690434864033,7631292.465753425,376157567406.4618,0.16355295712592358,0.17258618515879837,0.17746728118465896
PLTR,0.006366442298578564,81233268.49315068,245356796033.79858,0.5754949941932846,0.6120954575275714,0.648931589864693
SBUX,-0.0003048664271806824,9657386.301369863,104693942531.03961,0.26673849155306606,0.2819902282682742,0.2957135896548746
TSLA,0.0025327881752717873,97922602.05479452,1091838412936.4677,0.5971354560085769,0.6345053839085583,0.6559216620525777
V,0.000759682994719327,6423616.095890411,556287647409.272,0.18939862286834658,0.20092207428251987,0.20876896268527925
